"N°","dc.contributor.author","dc.title","dc.date.issued","dc.publisher","dc.identifier.uri","dc.subject","thesis.degree.grantor","thesis.degress.name","renati.level","renati.type"
"1","Vásquez Saavedra, Watson","Uso del software del sistema integrado de economía y finanzas en los departamentos de contabilidad y tesorería de la dirección de economía en la Fuerza Aérea del Perú – Jesús María – 2015","2016","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/8257","Software del Sistema Integrado | Economía y Finanzas | Nivel de uso","Universidad César Vallejo. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"2","Chavez Tejada, Luis Fernando","El comercio informal de ropa y su repercusión en el pago de impuestos caso: alrededores del mercado central de la ciudad de Cajamarca periodo 2017","2017","Universidad Nacional de Cajamarca","http://hdl.handle.net/20.500.14074/995","informalidad | comercio | impuestos | ingresos | desempleo","Universidad Nacional de Cajamarca. Facultad de Ciencias económicas, Contables y Administrativas","","",""
"3","Murillo Martinez, Marcia Lorena","Choques de gigantes : impacto de China y EEUU en Latinoamérica","2018-09-19","Pontificia Universidad Católica del Perú","http://hdl.handle.net/20.500.12404/12672","Industria del cobre--América Latina | América Latina--Relaciones económicas exteriores--Estados Unidos | Estados Unidos--Relaciones económicas exteriores--América Latina | América Latina--Relaciones económicas exteriores--China | China--Relaciones económicas exteriores--América Latina","Pontificia Universidad Católica del Perú. Facultad de Ciencias Sociales","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"4","Montenegro Vela, Anghy Anavel | Santos Villanueva, Monica Daniela","Propuesta del sistema de economía circular en Lonya grande para mejorar el nivel de vida de los habitantes","2023","Universidad Señor de Sipán","https://hdl.handle.net/20.500.12802/10613","Impacto | Nivel de vida | Muestra | Economía Circular | Encuestas | Análisis empírico","Universidad Señor de Sipán. Facultad de Ingeniería, Arquitectura y Urbanismo","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"5","Kahn Bustos, Fernando David","Economía digital sostenible y su aplicación en la gestión pública en el marco de la Política Nacional de Transformación Digital al 2030","2024","Centro de Altos Estudios Nacionales - Escuela de Posgrado","https://hdl.handle.net/20.500.13097/580","Desarrollo | Tecnología | Economía digital | Transformación digital | Gestión Pública | Competitividad","Centro de Altos Estudios Nacionales - Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"6","Quillahuamán Gutierrez, Rebeca","Estudio de caso práctico.","2017-04-21","Universidad Andina del Cusco","https://hdl.handle.net/20.500.12557/1656","Economía | Economía abierta | Mercado | Información-Mercado","Universidad Andina del Cusco. Facultad de Ciencias Económicas, Administrativas y Contables","","","https://purl.org/pe-repo/renati/type#trabajoAcademico"
"7","Pupuche Pérez, Stevens Smith","Rol de los factores externos en el crecimiento económico del Perú - un enfoque SVARX (1994-2018)","2019","Universidad San Ignacio de Loyola","https://hdl.handle.net/20.500.14005/9612","Crecimiento económico | Producto bruto interno (PBI) | Comportamiento económico","Universidad San Ignacio de Loyola. Facultad de Ciencias Empresariales. Carrera de Economía","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8","Monsalve Fernandez, Emili Yulissa","Evaluación del impacto de los costos de producción en la economía de productores de papa en Conila-Cohechan, 2023","2025","Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas","https://hdl.handle.net/20.500.14077/4798","Costos de producción | Desarrollo económico | Eficiencia productiva","Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas. Facultad de Ciencias Económicas y Administrativas","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"9","Pineda Marcavillaca, Anabel Lucero","Estimación de la economía informal y análisis de su implicancia en el crecimiento económico del Perú: periodo 1996-2019","2023-12-21","Universidad Nacional del Altiplano. Repositorio Institucional - UNAP","https://repositorio.unap.edu.pe/handle/20.500.14082/20999","Crecimiento económico | Economía informal | Índice de Economía Informal | Informalidad","Universidad Nacional del Altiplano. Facultad de Ingeniería Económica","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"10","Márquez Sierra, Cristina Melchora","Uso de CMAP TOOL en el desarrollo de las competencias  de Historia, Geografía y Economía en los estudiantes de quinto de secundaria 2016","2017","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/5318","Competencias | Desarrollo | Tecnología | Instrumento | Enfoque","Universidad César Vallejo. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#doctor","https://purl.org/pe-repo/renati/type#tesis"
"11","Pacherres Flores, Jhenyfer Tatiana | Ttito Carbajal, Mishiel Mireya","Economía naranja y la transformación económica de la provincia de Cañete durante el año 2023","2023","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/138341","Transformación económica | Economía naranja | Patrimonio cultural","Universidad César Vallejo. Facultad de Ciencias Empresariales","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"12","León Avila, Greisy Katterine | Rivera Gómez, Lesly","Insercion laboral y las competencias profesionales de los egresados de economía de la UNHEVAL, periodo 2010-2018","2019","Universidad Nacional Hermilio Valdizán","https://hdl.handle.net/20.500.13080/5345","Inserción Laboral | Competencias profesionales | Calidad","Universidad Nacional Hermilio Valdizán. Facultad de Economía","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"13","Farfan Silva, Jerson David","Choques de incertidumbre en una economia pequeña y abierta en un contexto de metas de inflación: Perú 2002-2016, enfoque Var Bayesiano","2019-01-21","Pontificia Universidad Católica del Perú","http://hdl.handle.net/20.500.12404/13291","Inflación--Perú | Ciclos económicos--Perú | Macroeconomía--Perú | Perú--Condiciones económicas","Pontificia Universidad Católica del Perú. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"14","Huayta Sánchez, William Andre | Sierra Rodríguez, Cristhian","Modelos de negocio aplicados en las empresas de servicio de taxi: economías colaborativas vs modelos tradicionales en Perú en la actualidad","2021-04-09","Pontificia Universidad Católica del Perú","http://hdl.handle.net/20.500.12404/18775","Transporte de pasajeros | Negocios--Planificación | Telefonía celular--Aplicaciones","Pontificia Universidad Católica del Perú. Facultad de Gestión y Alta Dirección","","https://purl.org/pe-repo/renati/level#bachiller","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"15","Inchuña Urcunio, Jackelin","La economía informal y el desempleo en el mercado distrital de Moquegua, periodo 2021","2024-01-26","Universidad Autónoma del Perú","https://hdl.handle.net/20.500.13067/2949","Socioeconómico | Coeficiente | Desempleo | Economía informal","Universidad Autónoma del Perú. Facultad de Ciencias de Gestión y Comunicaciones","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"16","Garcia Fernández, Jorge Mercedes","Economía circular en la producción de café de la cooperativa agraria cafetalera Bagua Grande, 2022.","2023","Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas","https://hdl.handle.net/20.500.14077/3552","Economía circular | Productor de café | Cooperativa agraria","Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas. Facultad de Ciencias Económicas y Administrativas","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"17","Luna Sánchez, George Steven | Blengeri Vásquez, Marco Antonio","Economía Subterránea en Loreto 1994-2009: Una aproximación departamental a partir del enfoque monetario","2012","Universidad Nacional de la Amazonía Peruana","http://repositorio.unapiquitos.edu.pe/handle/20.500.12737/4102","Economía subterránea | Medición | Movimiento de capitales","Universidad Nacional de la Amazonía Peruana. Facultad de Ciencias Económicas y de Negocios","","",""
"18","Valerio Roncagliolo, Flavio Cesar","Impacto del estrés financiero en la estabilidad monetaria, financiera y el crecimiento económico: economías avanzadas y emergentes (2005 – 2019)","2020","Universidad de Lima","https://hdl.handle.net/20.500.12724/12129","Economic stabilization | Economic development | Developed countries | Emerging markets | Estabilidad económica | Desarrollo económico | Países desarrollados | Mercados emergentes","Universidad de Lima. Facultad de Ciencias Empresariales y Económicas","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"19","Sarabia Ticona, Edith","La economía familiar y el rendimiento académico de los estudiantes del área de historia, geografía y economía de la Institución Educativa Secundaria Técnico Artesanal Uros Chulluni Puno 2015","2017-01-26","Universidad Nacional del Altiplano. Repositorio Institucional - UNAP","https://repositorio.unap.edu.pe/handle/20.500.14082/6670","Educación cultural y sociedad | Condiciones sociofamiliares y educativas del fracaso escolar","Universidad Nacional del Altiplano. Facultad de Ciencias de la Educación","","",""
"20","Girone Gomez, Yuli Manuela | Gomez Timoteo, Nathaly Rosa | Valderrama Llerena, Greta Cecilia","Propuesta de gestión de residuos sólidos mediante economía circular en la Municipalidad Distrital de Ulcumayo, Junín, 2024","2025","Universidad Continental","https://hdl.handle.net/20.500.12394/17537","Economía | Economy | Residuos sólidos | Solid waste | Consumo | Consumption | Desarrollo sostenible | Sustainable development","Universidad Continental. Escuela de Posgrado.","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"21","Calle Peralta, Angélica Jimena","Los créditos prendarios y su incidencia en la economía de los clientes de una empresa financiera, Piura 2021","2021","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/83571","Créditos | Clientes | Finanzas","Universidad César Vallejo. Facultad de Ciencias Empresariales","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"22","Escobar Montalvo, José Manuel","Una medición de la economía subterránea peruana, a través de la demanda de efectivo: 1980-2005","2009","Universidad Nacional Mayor de San Marcos","https://hdl.handle.net/20.500.12672/14976","Sector informal (Economía) - Perú | Tráfico de drogas - Aspectos económicos - Perú | Piratería (Derechos de autor) - Aspectos económicos - Perú | Evasión de impuestos - Perú | Filtro de Kalman","Universidad Nacional Mayor de San Marcos. Facultad de Ciencias Económicas. Escuela Académico Profesional de Economía","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#trabajoDeSuficienciaProfesional"
"23","Delgado Neyra, Paulo César","Análisis de las políticas y normativas en Economía Circular en el Perú","2020-07-23","Universidad Internacional de La Rioja","https://hdl.handle.net/20.500.14366/5354","Economía circular | Política económica | Desarrollo sustentable","Universidad Internacional de La Rioja. Facultad de Derecho","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"24","Melendez López, Fabiola Andrea","LA MICRO, PEQUEÑAS Y MEDIANAS EMPRESAS COMO FACTOR IMPORTANTE EN EL DESARROLLO DE LA ECONOMIA PERUANA, PERIODO 2010-2015","2020-01-22","Universidad Nacional José Faustino Sánchez Carrión","http://repositorio.unjfsc.edu.pe/handle/UNJFSC/3773","MIPYME | Empleo | PBI | Desarrollo Económico","Universidad Nacional José Faustino Sánchez Carrión. Facultad de Ciencias Económicas, Contables y Financieras","","",""
"25","Aquino Herrera, Sugey Kelly","Analisis de la economia familiar alpaquera del distrito de palca provincia de Lampa Puno: Estimacion del costo de produccion de la fibra de alpaca","2011","Universidad Nacional de San Agustín de Arequipa","http://repositorio.unsa.edu.pe/handle/UNSA/921","Crianza de la alpaca | Medios de vida | Costo de produccion","Universidad Nacional de San Agustín de Arequipa.Facultad de Economía","","http://purl.org/pe-repo/renati/level#tituloProfesional","http://purl.org/pe-repo/renati/type#tesis"
"26","Condori Gonzales, Herly A. | Mamani Ccama, Omar","El control interno y su relación en la gestión administrativa de la oficina de  economía en la Dirección Regional de Salud de Madre De Dios 2017","2019-03","Universidad Nacional Amazónica de Madre de Dios","http://hdl.handle.net/20.500.14070/399","Control Interno | Gestión Administrativa | Ambiente de control | Evaluación de riesgo","Universidad Nacional Amazónica de Madre de Dios. Facultad de Ecoturismo","","",""
"27","Escajadillo Lale, Williams Mitchell","Síntesis de evidencia sobre el estado actual de la Economía Circular en la gestión de residuos sólidos en la región: una revisión sistemática","2023","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/134365","Economía circular | Residuos | Implementación | Gestión","Universidad César Vallejo. Facultad de Ingeniería y Arquitectura","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"28","Chaiña Panca, Fabiola","La economia informal y el desempleo en el Mercado 15 de agosto de Yunguyo, Puno, 2024","2024","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/160175","Economía informal | Desempleo | Crecimiento económico","Universidad César Vallejo. Facultad de Ciencias Empresariales","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"29","Vásquez Vergara, Andrea Del Pilar","La economía circular en la inversión pública del Ministerio del Ambiente del Perú, 2022","2022","Universidad Nacional Mayor de San Marcos","https://hdl.handle.net/20.500.12672/20936","Economía - Perú | Inversión pública","Universidad Nacional Mayor de San Marcos. Facultad de Ciencias Económicas. Escuela Profesional de Economía Internacional","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#trabajoDeSuficienciaProfesional"
"30","Hilario Flores, Nataly Ivonne","La evaluación previa a las concentraciones empresariales en el Perú: análisis desde la economía social de mercado","2023","Universidad Nacional Mayor de San Marcos","https://hdl.handle.net/20.500.12672/20381","Libre comercio | Concentración industrial | Constituciones - Perú","Universidad Nacional Mayor de San Marcos. Facultad de Derecho y Ciencia Política. Escuela Profesional de Derecho","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"31","Trujillo Iraita, Rosario Martin","Cultura de emprendimiento y su incidencia en la economía familiar en un caserío de la provincia de Otuzco, 2023","2024","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/134690","Cultura | Emprendimiento | Economía","Universidad César Vallejo. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#doctor","https://purl.org/pe-repo/renati/type#tesis"
"32","Sinche Chocca, Nildo","Punto fijo de Kakutani y existencia de equilibrio de una economía de intercambio puro","2013","Universidad Nacional de Ingeniería","http://hdl.handle.net/20.500.14076/1482","Teorema de Kakutani | Teorema del Máximo | Equilibrio económico","Universidad Nacional de Ingeniería. Facultad de Ciencias","","",""
"33","Carhuaricra Cusipuma, Jose Joselito | Carhuaricra Cusipuma, Paulo Cesar","Competencias digitales de los estudiantes de Administración y Economía de la Universidad Nacional de Huancavelica","2018-06-07","Universidad Nacional de Huancavelica","https://hdl.handle.net/20.500.14597/1893","Competencias Digitales | Información | Comunicación | Resolución de Problemas","Universidad Nacional de Huancavelica. Facultad de Educación","","",""
"34","Neyra Mejía, Aritha Sabina","Análisis de la incorporación de la economía circular en la legislación sobre residuos sólidos de construcción y demolición en el Perú","2022-06-14","Pontificia Universidad Católica del Perú","http://hdl.handle.net/20.500.12404/22585","Economía ambiental | Derecho ambiental--Legislación--Perú | Residuos sólidos--Aspectos ambientales","Pontificia Universidad Católica del Perú. Facultad de Derecho.","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"35","Condori Zamora, Karen Melissa","Demanda laboral juvenil y su inserción en la economía peruana en el distrito de San Juan de Lurigancho 2020","2025","Universidad Nacional del Callao","https://hdl.handle.net/20.500.12952/11252","Demanda laboral | Inserción | Economía peruana","Universidad Nacional del Callao. Facultad de Ciencias Administrativas","","https://purl.org/pe-repo/renati/level#doctor","https://purl.org/pe-repo/renati/type#tesis"
"36","Serpa Guzmán, Gianfranco | Silva Vega, Diego Enrique","Economía compartida : factores claves para su desarrollo en un contexto limeño","2017-03-09","Pontificia Universidad Católica del Perú","http://hdl.handle.net/20.500.12404/8093","Economía urbana--Perú--Lima | Economía urbana--Desarrollo sostenible | Economía--Aspectos sociales","Pontificia Universidad Católica del Perú. Facultad de Gestión y Alta Dirección","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"37","Cardenas Perez, Marco Federico","La economía colaborativa y la rentabilidad en los conductores de aplicativo móvil de Lima Metropolitana","2024","Universidad Nacional Mayor de San Marcos","https://hdl.handle.net/20.500.12672/25815","Economía | Rentabilidad","Universidad Nacional Mayor de San Marcos. Facultad de Ciencias Contables. Unidad de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"38","Gamboa García, Frank Joseph | Pinedo Saavedra, Bruno Emigdio","Economía local de Buenos Aires: una oportunidad para su desarrollo económico. Trujillo - 2019","2019","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/43674","Economía local | Desarrollo económico | Buenos Aires","Universidad César Vallejo. Facultad de Ciencias Empresariales","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"39","Bustamante Nuñez, Yasser Ruben","Economías colaborativas de servicio y su relación con la cultura de emprendimiento de Lambayeque 2023","2023","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/128904","Economía colaborativa | Emprendimiento | Consumo colaborativo","Universidad César Vallejo. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#doctor","https://purl.org/pe-repo/renati/type#tesis"
"40","Jara Valverde, Deniss Raul","Terminación Anticipada en etapa intermedia e impacto en los principios de celeridad y economía en una Fiscalía Provincial, Trujillo2023","2023","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/145501","Terminación anticipada | Etapa intermedia | Principio de celeridad procesal | Principio de economía procesal","Universidad César Vallejo. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"41","Aguilera Agurto, Loana Belen","Economía circular y competitividad en una empresa exportadora de hidrobiológicos de Paita - 2025","2025","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/180539","Economía | Exportación | Importación | Consumo","Universidad César Vallejo. Facultad de Ciencias Empresariales","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"42","Cachique Coral, Nancy Verónica | Távara Legua, Kristhel Nicole","Economía informal y cumplimiento tributario en un mercado de la ciudad de Tarapoto San Martin-2024","2025","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/168543","Sector informal | tributación | sector económico","Universidad César Vallejo. Facultad de Ciencias Empresariales","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"43","Medrano Carrion, Karina Leonor | Mercado Rodriguez, Gianella Camila","La gestión de la cadena de suministro con enfoque de economía circular: estudio para el sector hotelero","2021-06-18","Pontificia Universidad Católica del Perú","http://hdl.handle.net/20.500.12404/19499","Turismo--Administración | Hoteles--Administración | Logística empresarial--Administración","Pontificia Universidad Católica del Perú. Facultad de Gestión y Alta Dirección","","https://purl.org/pe-repo/renati/level#bachiller","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"44","Vargas Rodriguez, Roger Manuel","Uso de las Tics en el logro de las competencias en el curso de economía general – Universidad Nacional de San Martín - Tarapoto","2019-06-11","Universidad Nacional de Educación Enrique Guzmán y Valle. Escuela de Posgrado","https://repositorio.une.edu.pe/handle/20.500.14039/4820","Estrategias Lúdicas | Desarrollo de la Lateralidad","Universidad Nacional de Educación Enrique Guzmán y Valle. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"45","Huancachoque Condorccahua, Yelsin | Moscoso Tinco, Joel","Aplicación de la metodología BIM en la fase de pre - construcción en un proyecto inmobiliario","2016","Universidad Nacional de San Antonio Abad del Cusco","http://hdl.handle.net/20.500.12918/2526","Metodología BIM | Planeamiento | Muestra","Universidad Nacional de San Antonio Abad del Cusco. Facultad de Arquitectura e Ingeniería Civil","","http://purl.org/pe-repo/renati/nivel#tituloProfesional","http://purl.org/pe-repo/renati/type#tesis"
"46","Palacios Aldana, Fernanda Guianella | Valdiviezo Baca, Emma Mariel","Economía circular y proceso de campo agrícola de las empresas agroexportadoras de Piura 2023","2023","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/149313","Economía circular | Proceso de campo agrícola | Empresa","Universidad César Vallejo. Facultad de Ciencias Empresariales","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"47","Román Mondragón, Yesenia del Carmen","Relación entre la calidad de atención y la satisfacción del cliente externo en la Unidad de Economía del Hospital San José Callao – 2014","2015","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/6460","Administración de los servicios de salud | Calidad de atención | Satisfacción del paciente","Universidad César Vallejo. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"48","Porras Aspajo, Aldo Pablo","La postulación de un nuevo proceso de exoneración de prestación de alimentos en contraposición al principio de economía procesal","2020","Universidad Continental","https://hdl.handle.net/20.500.12394/8454","Juicio de alimentos | Pensión alimenticia","Universidad Continental. Facultad de Derecho.","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"49","Santos Yactayo, Maria Estefany","El crecimiento de la economía y evasión tributaria en las empresas ferreteras de la región Lima, periodo 2024","2025","Universidad de San Martín de Porres","https://hdl.handle.net/20.500.12727/19398","Crecimiento económico | Evasión tributaria | Sector ferretero","Universidad de San Martín de Porres. Facultad de Ciencias Contables, Económicas y Financieras. Unidad de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"50","Espinoza Herrera, Vany Erica","Importancia del control interno en la mejora de la gestión en la división de presupuesto de la dirección de economía y finanzas de la Policia Nacional del Perú - año 2010","2011","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/124052","Control interno | Mejora en la Gestión | Presupuesto","Universidad César Vallejo. Facultad de Ciencias Empresariales","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"51","Davalos Valdez, Daniela Cristina | Gilvonio Montes, Elisangela Nataly","Análisis de las segundas visitas para notificaciones judiciales relacionados a la economía y celeridad procesal en Lima, Este 2023","2024","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/150133","Notificaciones judiciales | Economía procesal | Celeridad procesal","Universidad César Vallejo. Facultad de Derecho y Humanidades","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"52","Requejo Aguilar, Lizet","Impacto de la inflación y repercusión en la economía en amas de casa de la Residencia Puertas del Sol de Chiclayo 2023","2024","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/159424","Inflación | Economía doméstica | Amas de casa","Universidad César Vallejo. Facultad de Ciencias Empresariales","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"53","Espinoza Barrientos, Priscila","La gestión de recursos humanos y la satisfacción laboral del personal de la oficina de economía del hospital María  Auxiliadora San Juan de Miraflores, 2017","2017","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/127532","Gestión de recursos humanos | Gestión del talento humano | Gestión del personal | Productividad","Universidad César Vallejo. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"54","López Arancibia, Ivonne Fiorela","Percepción de la responsabilidad social del Hospital San Bartolomé, en las áreas de logística y economía, Lima - 2017","2018","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/14807","Responsabilidad social | Logística | Hospitales - Administración","Universidad César Vallejo. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"55","Reyna Silva, Luz Angélica","Sistema de control interno de los trabajadores de las Oficina de Logística y Economía- Hospital San Bartolomé 2017","2017","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/22093","Sistema de control interno | Gestión logística | Hospolates","Universidad César Vallejo. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"56","La Chira Valera, Norma Hillary","Economía circular y gestión de la cadena de valor en una empresa exportadora de banano orgánico Piura, 2024","2024","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/166837","Producción | Comercio internacional | Desarrollo económico","Universidad César Vallejo. Facultad de Ciencias Empresariales","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"57","Montoya Villalta, Jharold José","Impacto de la Crisis Económica Mundial en la Economía Peruana según Modelo Is-Lm de Mundell-Fleming para el Periodo 2007-2012","2005-08-13","Universidad Católica de Santa María","https://repositorio.ucsm.edu.pe/handle/20.500.12920/3701","Crisis Económica Mundial | Is - Lm de Mundell - Fleming","Universidad Católica de Santa María.Facultad de Ciencias Económico Administrativas","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"58","Llavilla Nina, María","Los métodos problémicos para el desarrollo de la creatividad en estudiantes del segundo grado de secundaria del área de historia, geografía y economía de la Institución Educativa N° 0076 “María Auxiliadora”","2018","Universidad de Ciencias Pedagógicas Enrique José Varona","","Aptitudes creativas | Estudiantes de secundaria","Universidad de Ciencias Pedagógicas Enrique José Varona","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"59","Mamani Huayta, Ana Cecilia","Desempleo y economía familiar en jóvenes residentes en el distrito de Tambopata, Madre de Dios 2023","2025-04-14","Universidad Católica de Trujillo - Benedicto XVI","https://hdl.handle.net/20.500.14520/9145","Accesibilidad laboral, condición familiar, desempleo, economía","Universidad Católica de Trujillo - Benedicto XVI. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"60","García Santa Cruz, Edgar Jorge","Dirección estratégica para la economía, eficiencia y efectividad de las grandes empresas comerciales de Lima Metropolitana","2019","Universidad Nacional Federico Villarreal","https://hdl.handle.net/20.500.13084/3150","Dirección estratégica | planeación y organización estratégica | toma de decisiones empresariales y trabajo en equipo y control empresarial | economía | eficiencia y efectividad empresarial | productividad y mejora continua empresarial | competitividad y desarrollo empresarial | grandes empresas comerciales ubicadas en la red urbana de Lima","Universidad Nacional Federico Villarreal. Escuela Universitaria de Posgrado","","https://purl.org/pe-repo/renati/level#doctor","https://purl.org/pe-repo/renati/type#tesis"
"61","Cahuana Puma, Leonel Ray Cristian | Mamani Huamán, Erika Meluska","Las estrategias cooperativas para el mejor aprendizaje del área de historia, geografía y economía en los estudiantes del cuarto grado de la I.E.S. Mariano Melgar Ayaviri","2018-08-06","Universidad Nacional del Altiplano. Repositorio Institucional - UNAP","https://repositorio.unap.edu.pe/handle/20.500.14082/7815","Interdisciplinaridad en la Dinámica Educativa: Ciencias Sociales | Estrategias Didácticas","Universidad Nacional del Altiplano. Facultad de Ciencias de la Educación","","",""
"62","Osorio Reyes, Carlos Roberto | Sigüeñas Soriano, Ricardo","El leasing financiero como alternativa de financiamiento en la adquisición de equipos de transporte para la obtención de beneficios tributarios en la empresa Distribuidora Linares S.A.C - 2009","2010","Universidad Señor de Sipán","https://hdl.handle.net/20.500.12802/2604","Leasing | Financiero | Financiero","Universidad Señor de Sipán. Facultad de Ciencias Empresariales","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"63","Castro Gonzales, Gian Carlos","Contabilidad gubernamental y la asignación del presupuesto público en la Dirección de Economía y Finanzas de la PNP, año 2018","2019","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/40120","Contabilidad | Presupuesto | Registro | Control | Seguridad","Universidad César Vallejo. Facultad de Ciencias Empresariales","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
