"N°","dc.contributor.author","dc.title","dc.date.issued","dc.publisher","dc.identifier.uri","dc.subject","thesis.degree.grantor","thesis.degress.name","renati.level","renati.type"
"6828","Arias Bazan, Gabriela Yoselin | Espinoza Almerco, Danna Jessica","Comportamiento organizacional y proceso administrativo en la Municipalidad Distrital de Tapo, Tarma - 2022","2024-12-20","Universidad Peruana Los Andes","https://hdl.handle.net/20.500.12848/8858","Comportamiento organizacional | Proceso administrativo","Universidad Peruana Los Andes. Facultad de Ciencias Administrativas y Contables","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"6829","Pilco Valles, Daniel","Impacto de los precios de los commodities y el spread soberano en la economía peruana. Periodo 2004 - 2014","2017","Universidad Privada Antenor Orrego","https://hdl.handle.net/20.500.12759/3175","Commodities | Spread","Universidad Privada Antenor Orrego. Facultad de Ciencias Económicas","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"6830","Minaya Puma, Karol Liz | Tirado Bazan, Margarita","Valoración financiera de una caja municipal de ahorro y crédito bajo el método de flujo de caja descontado – 2020. Caso: información pública – SMV, CMAC Huancayo S. A.","2022-02-23","Universidad Privada del Norte","https://hdl.handle.net/11537/29791","Costos de capital | Flujo de caja | Estados financieros | Costo de oportunidad del capital (CAPM) | Costo de la deuda (Kd) | Valor actual neto (VAN)","Universidad Privada del Norte. Facultad de Negocios","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"6831","Valera Garcia, Ricardo Jesus","La pérdida del acceso al sistema financiero en jóvenes estudiantes de 18 a 25 años de edad del sector socioeconómico A-B del distrito de Surco a causa del desconocimiento de la información básica de administración bancaria","2019","Universidad San Ignacio de Loyola","https://hdl.handle.net/20.500.14005/9231","Estado financiero | Financiación | Crédito | Deuda | Joven","Universidad San Ignacio de Loyola. Facultad de Humanidades. Carrera de Arte y Diseño Empresarial","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"6832","Cupe Escalante, Fiorella Nicol | Neyra Bravo, Cesar Eduardo","Operations management model based on mixed methodologies to increase production efficiency in a retail laundry","2024","Universidad de Lima","https://hdl.handle.net/20.500.12724/21699","Industria de lavandería | Industria textil | Producción eficiente | Pequeñas y medianas empresas | Productividad | Productividad laboral","Universidad de Lima. Facultad de Ingeniería","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"6833","Pari Colquehuanca, Luís","Actitud De Los Medianos Y Pequeños Contribuyentes Y La Fiscalizacion  Tributaria En El Cercado Del Distrito De Cusco 2017","2016","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/31283","Actitud de los Medianos y Pequeños Contribuyentes | Fiscalización Tributaria","Universidad César Vallejo. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"6834","Pérez Ñahui, Cristhian Jesús","Evaluación Por Resultados De Los Proyectos De Inversión Pública En La Municipalidad Distrital De Maranura,           2013-2016","2018","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/33396","Proyectos De Inversión Pública | Evaluación Ex Post | Evaluación De Resultados","Universidad César Vallejo. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"6835","Luza Manrique, Váleri Leydé","Estudio del Costo- Efectividad de Dos Esquemas Terapéutico Folfox-6 y Dcf en el Tratamiento de Neoplasia Maligna Gástrica en Pacientes del Hospital Nacional Carlos Alberto Seguín Escobedo-Arequipa","2019-01-23","Universidad Católica de Santa María","https://repositorio.ucsm.edu.pe/handle/20.500.12920/8619","fármaco-economía | cáncer gástrico | costo-efectividad","Universidad Católica de Santa María.Facultad de Ciencias Farmacéuticas, Bioquímicas y Biotecnológicas","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"6836","Pillco Huarachi, Percy","El financiamiento a las micro y pequeña empresas formales e informales en la ciudad de Puerto Maldonado 2014.","2017-04-21","Universidad Andina del Cusco","https://hdl.handle.net/20.500.12557/1257","Financiamiento | Estabilidad económica | Pymes | Mypes","Universidad Andina del Cusco. Facultad de Ciencias Económicas, Administrativas y Contables","","",""
"6837","Infantas Soto, Romi Carmen","Análisis de los residuos sólidos y su incidencia en el gasto público ambiental en la provincia del Cusco, periodo 2014-2019","2020-12-21","Universidad Andina del Cusco","https://hdl.handle.net/20.500.12557/3756","Gasto público ambiental | Residuos sólidos | Reciclables | No reciclables","Universidad Andina del Cusco. Facultad de Ciencias Económicas, Administrativas y Contables","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"6838","Bi, Yuting","Las lágrimas del bosque. La construcción de modelos de alteridad a través de la experiencia de Roger Casement en el Putumayo","2019-03-26","Pontificia Universidad Católica del Perú","http://hdl.handle.net/20.500.12404/13825","Casement, Roger, Sir, 1864-1916. | Putumayo (Loreto: Distrito)--Historia--Siglo XX | Indios del Perú--Amazonía, Región--Trato recibido | Eurocentrismo","Pontificia Universidad Católica del Perú. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"6839","Gallardo Bernal, Marcos Manuel | Lam Salgado, Juan Manuel | Montes Gutiérrez, Cinthya Victoria | Reyes Guillén, Giovanna Irene","Planeamiento estratégico región Lambayeque","2018-07-26","Pontificia Universidad Católica del Perú","http://hdl.handle.net/20.500.12404/12346","Desarrollo regional -- Perú -- Lambayeque | Planificación regional -- Perú -- Lambayeque | Planificación estratégica","Pontificia Universidad Católica del Perú. CENTRUM","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"6840","Calderon Del Aguila, Jorge Alberto | Trauco Sanancima, Jhim Lee","La apertura comercial y su incidencia en el crecimiento económico peruano en el periodo 2006 - 2016","2019","Universidad Nacional de San Martín. Fondo Editorial","http://hdl.handle.net/11458/3523","Apertura comercial | Crecimiento económico | Comercio internacional | Eexportaciones tradicionales | Exportaciones no tradicionales","Universidad Nacional de San Martín. Facultad de Ciencias de Económicas","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"6841","Coronel Salirrosas, Jesús","Desarrollo del mercado de capitales en el Perú : periodo 1985-2002","2009","Universidad Nacional Mayor de San Marcos","https://hdl.handle.net/20.500.12672/2315","Mercado de capitales - Perú | Perú - Condiciones económicas - 1980-","Universidad Nacional Mayor de San Marcos. Facultad de Ciencias Económicas. Unidad de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"6842","Gosicha Tello, Pedro Alejandro","Control de calidad de estructuras de concreto reforzado - materiales","1981","Universidad Nacional de Ingeniería","http://hdl.handle.net/20.500.14076/2325","Control de calidad | Estructuras | Concreto","Universidad Nacional de Ingeniería. Facultad de Ingeniería Civil","","",""
"6843","Abad Retete, Manuel","Efecto de sobra y frecuencia de riesgo en la etapa de aclimatación de plantas clonadas de café (coffea arabica L.) variedad caturra en fase de vivero, Morales-San Martín","2015","Universidad Nacional de San Martín. Fondo Editorial","http://hdl.handle.net/11458/547","Efecto | Frecuencia","Universidad Nacional de San Martín. Facultad de Ciencias Agrarias","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"6844","Shuña Rodríguez, Jean Franz | Briones Cojal, Elevi","Exportaciones agrícolas y su efecto en el crecimiento de la economía de la región San Martín en el periodo 2014 – 2019","2021","Universidad Nacional de San Martín. Fondo Editorial","http://hdl.handle.net/11458/4511","Exportación agrícola | Crecimiento económico | Valor FOB | Tipo de cambio","Universidad Nacional de San Martín. Facultad de Ciencias Económicas","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
